dsp_id	title	artists	isrc	usages	revenue
gdkXSptopEXhLvWLXfwQUqiqEXYOTE	accept media	Breanna Moran|Rebecca Dickerson	EROVR1717158	790077	65.0
uofotYxWikfKrXNeNpsICxnFqenPwE	think her	Garrett Porter	DJZCM9491623	90121	64686762792547.5
CcVTVsmUNnMloFPQDZpumrtmoXSgAY	music idea write	Laurie Moore	MVLBX6723185	641359	639.841021672981
kvVJEWSqnFdvleFLiHYBfHXJmdMezo	early figure	Ethan Carter|Brian Arellano PhD|Henry Estes|Ronald Medina|Cristian Best	DOWYY3046711	105856	236259138706.67
ZpSXwRMIoOSadjQMSBOHNTEAKFjvto	less give indeed	David Thompson	SOHFE9194647	109207	597.0
QWWyJvPFalQHrLOWXMheMDUpMPbWJp	debate minute affect return	John Wright	MMSNW6467481	141395	92778057695.946
MjdONRKDEHwNYCougoQRKknglIrFvA	enter pay point play	Lisa Mcdaniel|Janice Wolfe|David Freeman|David Jones|Brittany Austin	NPVJP1576567	471057	19468.5767332947
jRAPKbClWWSmoqfXeeKQodNGJuzgwN	population factor thought	Michael Crawford|Amber Torres|Michael Lucas|Laura Frederick	SLUCU6750716	176604	93.342763526
bMHAZpPNexLvtFVHMAgwLqhjytEPTB	yourself mind	Dr. Alexis Ramirez|Janet Welch DVM|Thomas Patterson|Michelle Simpson	USPKT1708415	758354	6122299886491.6
uipZMzFkbooAPnUdDltrAcXrLjwzsj	also brother window agreement	Thomas Rose|Scott Martinez|Michael Oliver|Kevin Holt	TMDOF3642638		
JiSrwZxpkXRIcHHjOujIgTySQWJsFb	director well pass both	Timothy Williams|Crystal Cain|Tara Vargas|Willie Hernandez|Nancy Matthews	AGAJF1823973	258993	430878635547456.0
zwDCXdorfTTKlGmqdSbhNVYREScKkX	particularly feeling	Melissa Russell|Anthony Peterson	BTGSS6447239	53990	97162.48080035
BKGMtVCEzeoexQcnIFgMSqIGCwnkkz	billion rise with	Tina Schmidt|Anthony Horton|Meghan Bennett	BAYKN0287891	996270	94942541.48741
bEXHdZKtKpgThLaMQrZcXTCxhKYfXf	to find	Todd Sanford|Samuel Tanner	IECLL5445276	736126	64707345.415
ThxKRbqVMJTjwHdJesOjIEcAYbYPFM	develop matter garden popular	Kristina Pratt	TNPKJ0534628	453816	9312274023.26
CVCbikUbcAeXaeOsMOjCDmZfqgcDiB	should job	James Johnson|Gina Hernandez	QAFTY2863314	552016	82.5733554
qTolDbZAkhvpxNdoHponDIJGvqOIcO	story light	Amy Reese|Tina Brown|Brittany Hernandez|Michael Perez|Austin Harrington	PGSMO7032189	307859	65.77987
JUCeRAwwVmnvXXuWfzVkcJBroooQWs	course summer start	Brandon Barber	SYVGC0232436	474827	6891.23
UeanuNVZKXTRGsMaXfjtxMbkMPnuFE	blood voice	Danny Gomez|Craig Evans|Robert Morgan	SOXFY4368522	123339	8171078926.557
gNVzFMaukVFinrRCJQfkYgmcwIJiZV	yard stay less writer	Jeffrey Lewis|Susan Briggs	BTIQR7957375	858874	473681187.1821
BLQKtCdfOIQlggrAfkDpnQMXlxjZOe	say time	Juan Logan|Thomas Blevins|Andrew Ellis	SLPIC3146422	148388	755910.7874
HROXPtcBDoHDjklYYryAyLciSonCyc	meet action pattern	Joanne Long|Karen Weaver	INTAD3764255	507889	633377748.13
UeYdLEeoJZgZYSZbTkrlzzJDVFrtdb	to Mr chair manage	Janet Gray|Michael Taylor|Charles Fox|David Walton	MRTMD8948847	758187	5089.766321508
gTgZlfcJrFoqtTONuVXRaqeEEzCwUf	six shoulder	Megan Stone|Richard Singleton	GROZI7850448	298241	86.24
lmsimkWqLmEPvIZYbPnAZDjrkXNhBM	create range color	Kevin Ellis	VEVBN2539872	702386	7018713349.4
TUKHrRajToXocxIkygebQWRWzBpLWR	right event	Veronica Beck|Maureen Watson|Jon Johnson	BBSTU3751607	173327	26521015495.7147
eCnCJpPaYiZRvoHatisccwDEsghAGy	identify including no	Dawn Wilson|Robert Thomas|Jacqueline Perez|Veronica Alvarado|Megan Zavala		282637	19411480.0
DcIQWUwJjFtNVJqgCJkXKRtKLrYzgb	so business	Steven Vincent|Christian Campbell	SBEJQ8975570	56883	993340111782723.0
CLnVfFNIQnjCmpdjhBSlyURpseueDq	green staff support general	Summer Lee|Katie Marshall|Michael Mendez|Maria Vincent	ADFYF0021964	152173	23622300647790.0
EBHwwAhMoKHpjoHTEcQoKRJCvBifwN	age protect feeling ago	John Green|Andrea Miller|Jose Meyer	PTDOB8799050	782588	46112.471360443
VSbOwYUzgwEbXxSJJYaWhmPlZBIYnt	mind degree quite grow	Madison Mendez|Katelyn Howell|Barry Clark|Andrew Lowe	AMSGI3902337	280619	4.3185068744838
vomnCTJlrcYHsDZfRWYYLxOWEerXWL	job school different	Kenneth Moore|Erika Martin|William Johnson|Benjamin Martinez|Bruce Turner	BELWX5304534	78832	983227525301.0
atcDLsOEaYqiWvdfEGPwWlrGDMtApY	term road	Ryan Rodriguez|Denise Johnson|Melissa Nelson|Carrie Perez	AGIQL8672165	570758	71368.9399764328
IxKrzUIgnGVRyHbANSIqNpGRbgyTKl	yeah discuss national watch	Lee Gilbert|Thomas Turner|Kyle Cruz|Tiffany Chase	MZDZL6407474	8453	361818963138.0
dyvWWhiYaymliyKZIEdBBIyQNiBldB	bring decade ago	Michael Hancock|Anthony Williams|Nicole Thomas	NOGSV2080450	92160	55.6611294703
nSjOGIJRMdcDHkFfdtAsllSFFRogHt	body finally have mention	Eric Kemp|Jennifer West|Pamela Melton|Michelle Rogers DVM|Olivia Roberts	THYNF9041585	314206	1545.0
mruAWyKMMqzfECgxKENQkKGTraoCLT	nature not thank case	Tamara Williams|Seth Jimenez	AFPKW5505363	362588	6028.5408
iiytogFepZIbAJBJsUvzBuxLKLGfoH	maintain their		LAIFL2224874	776297	86234248032.0
YhIiFLZNStibBkBJzjSRcCgJzTSxpl	along ten necessary garden	Sandra Franklin|Marcus Burnett|Evan Collins|Sheri Carter|Maria Hall	BJBEE0552041	927101	72395.9100107
WBGnEQNiBveqGTLaBKBJuDyDMqIeYr	beat somebody	Christopher Ramirez|Kayla Smith|Kirsten Rodriguez|Nathan Curry	CGFKL8149177	921141	7908853130.2
PoyLUYYBMRHaPBKIZboCEuaWstAJvf	politics her	Lisa Trujillo|Brenda Rodriguez|Richard Burgess|Warren Schmidt|Margaret Chambers	MUOGD6638002	104671	13.699260065
cEbVKbzzJtKOEqcrSQMFDkWKFZtHaZ	office walk source style	Christopher Robles|Savannah Long|Jessica Tucker|Richard Palmer		264399	612802156698022.0
sCPcZzIYcsVcglVoDulappmvsVqiLo	data easy before off	Shelby Robertson|Kenneth Curtis	BDGVR4145816	312659	81.21318934983
FDpmlNScIjUlGXBoSzVACtbQtbmRXw	beyond style	Natalie Washington	TZCKV0717668	370875	758628944.72251
KfaVvbxRSfWXqzdXFXKfXMZAuYTIHK	husband say raise	Brianna Boyd	HUVGD6931475	839418	3169041.694935
RalUatvHNJYeThgBSLusUOuWeHPpRC	instead but site paper		SGLIG2819992	90828	56910123.620674
HNMzWVlUDLZbQMwxtpMCwWsLTyNjYm	generation defense list	Colleen Gutierrez|Tristan Joyce		196972	4791117640027.0
EwJkbfdxMTTBRYHxxlQdADAgxMeSbA	room make wonder	Hannah Gibson|Jennifer Davis|Haley Greene|Thomas Wolf	DKGHQ0035998	215058	2000554.6
dFXjOikdBJFpEQsQDIlUDEMFyxwNVJ	but in along heavy	Craig Watts|Sean Martinez|Katherine Woods|Todd Dunn	MEHZZ0120979	72416	413991.6137
TQSzjZiKfxKVRXdKUSCzolxjevTYls	test though	Jennifer Rogers|Angela Stanley|Timothy Tyler|Patricia Hull	SAXBF5407278	984217	94.0
oGloTPunIfwKdqCLpQyaparVmAvWOO	off certain key fight	Jody Herrera	HNSYQ4347800	349081	75311313.0
wNzIftppAVATGcexfUnSyjXURsBwwZ	data share summer	Drew Taylor|Adam Richards|Samantha Fuentes|Daniel Arellano|Erika Leblanc	ADNMP1809801	693127	52.0
WARbWLftnWYnIdifkfHkjHqyzrkOff	parent must position five	Paul Schneider	CDYSG8371572	332089	1975216257295.55
vlhBFpFOrGiFypFJeaMCpxFApXwdkP		Peter Edwards	PLCHC6724094	714179	301948564686.0
SaUZXzNitLRBeTHUTwEWPEriMyJVQY	either research	Margaret Rodriguez|Corey Greer	BRALF4043029	75540	752853241.436539
IUubepRrtFceZAqDAvLRHTLQAnLhpR	if spend political	Charlene Dunlap|Alexander Villarreal|Jessica Bond|Maria Kramer|Michelle Freeman	IDZAM0359249	929320	273455.0
jHBIHOJmeAigWduFIhUzpjtRbDBftw	low who	Monique Craig|Angela Osborne|Heather Smith|Mr. Daryl Morris Jr.	VASMS7419129	444164	688229618.55187
CAKMwqIjcGBQqUYiqMVQIUaVaxxjyM	design foot nature	Brian Ramirez|Jon Warren|Teresa Perez|Zachary Flores	BNHUL6479382	826279	9.987170831927
XyHuwKcfKgHBPKAEYkrsMZshybgete	name beyond traditional	Gary Wang|Whitney Mills|Alicia Cooper	CMQEP1249788	303525	9660190001.5
fftyGNmYeOXSkNnRJqIGVMpXfFJJjf	course history nothing state	Jasmine Robinson|Lori Perez|Amy Garrett|Andrew Gilmore|Nathaniel Hoffman	MHEGR5773821	255998	129360179127.7
BFfFpACZgUwtpOGrBdGvnIcoWXMagW	decision pay	Alison Jacobs		934825	78.926210086
iWhCrHcxZQHoYxSPzjuyxXYhBeQhCW	begin sound of half	Anthony Hinton	KGHVJ4940360	556651	472235687782.0
QrzdppIOMiwhKtJAdvDYQvuMLCWsHs	per nice stop wind	Joe Jennings|Rebecca Burns|Richard Ramsey|Carla Sutton	MTOXL6933924	343244	624002241436.0
ajYYMwUFnygGpONaYEliKwiyQCcEGo	court senior special	Michael Payne|Vanessa Brady|Michelle Elliott	JMJDA6159324	1158	59951226.46849
ryiihVzXugVkgRmrJLqiywmotWCgal	list almost big huge	Ronald Johnson|Anthony Mendoza|Melinda Brown|Alicia Jones	NAMMG5183737	381326	239149310.69929
TsVlmOjlkPShGsXXtkcSLvZRWtKUeQ	pressure speak admit continue	Natalie Gonzalez|Cody Fritz	FMOMM8538984	812621	654.0
FhXusEQEsSuBOblyauNvkMAhXIqWIx	throw figure area	Mr. Lee Mcknight|Kimberly Garcia|Jared Ortega|Alexander Thompson	CHCIC8470666	360914	1.12920641
WFQixrouMLcECycpQCFoXCElfBhFMP	water nation	Keith Jones|Anthony May|Stacey Sherman	AZMYY1049405	302278	8318.92335228
JohyAnKOqKznrggMPALpVZrJJrAcRf		Emily Alvarez	ILMRF4688699	567380	52312.4
PqBNpUjicKKyFHURUaKdOzVFzjDlGe	adult white story		PLEOI7130742	242146	86.465407
jQmITqSkDqfFyyNXNqqAvmIoagmzqB	over drop technology lay	Madison Walton|Michael Berger|Matthew Davis	ZWWPJ2356698	249123	111361603262.91
CVOJGTkslHfrOfowCvDJhDuvnSbuXS	star dinner these	Deborah Warner|Alejandro Johnson		668414	4555193222.48
jnEmZWdollHbuhdUxtDuTiNnaVmdHl	near city water	Amanda Wiley|Christina Fletcher|Dr. Brooke Reed|Anthony Nelson|Sharon Hanson	SRDXS1158045	462404	968739031.674
sjVfbiECzwAqtKWxAhSOevMSEnwCqQ	character walk	Matthew Holmes|Donna Martin|Erin Barnes	CZZKU6998178	349404	193623738590.0
WpWtFkkIWxHiWQFVUVTudGCPUsynPs	capital foreign husband us	Rachel Reynolds|Jonathan Dixon	KGEEP0875895	620367	482133188197536.0
